"","Fungal","Male","Diet","day","est","lower","upper","Treatment","Sex"
"182",1,0,"CY/C",12,0.440709880331366,0.403471298597627,0.476714915241943,"Fungal","Female"
"183",1,1,"C/CY",0,1,NA,NA,"Fungal","Male"
"184",1,1,"C/CY",1,0.994005107958428,0.990432080683441,0.997087677545626,"Fungal","Male"
"185",1,1,"C/CY",2,0.991740589386976,0.987222486237434,0.99628686642929,"Fungal","Male"
"186",1,1,"C/CY",3,0.99006555133041,0.984357464704998,0.995315034780693,"Fungal","Male"
"187",1,1,"C/CY",4,0.987501275057148,0.980478982994756,0.993792689837165,"Fungal","Male"
"188",1,1,"C/CY",5,0.981042247493812,0.974342946483757,0.988606494258113,"Fungal","Male"
"189",1,1,"C/CY",6,0.969165164287175,0.961457743424285,0.977370876145566,"Fungal","Male"
"190",1,1,"C/CY",7,0.948388516053729,0.937896362072214,0.959400374371091,"Fungal","Male"
"191",1,1,"C/CY",8,0.919470628418306,0.904833587445795,0.933681202353302,"Fungal","Male"
"192",1,1,"C/CY",9,0.884378174181912,0.867236609181649,0.903925080550076,"Fungal","Male"
"193",1,1,"C/CY",10,0.810254359385865,0.78947512712197,0.83235465636843,"Fungal","Male"
"194",1,1,"C/CY",11,0.733006638407994,0.703640386342751,0.76147883962209,"Fungal","Male"
"195",1,1,"C/CY",12,0.655737904374484,0.619167619116228,0.691840422281832,"Fungal","Male"
"196",1,0,"C/CY",0,1,NA,NA,"Fungal","Female"
"197",1,0,"C/CY",1,0.992758042309585,0.988857604012905,0.996123022515212,"Fungal","Female"
"198",1,0,"C/CY",2,0.990024824491609,0.984481756922584,0.994502786239956,"Fungal","Female"
"199",1,0,"C/CY",3,0.988003933078891,0.98084023635539,0.993834582452731,"Fungal","Female"
"200",1,0,"C/CY",4,0.984911580979287,0.97574135230782,0.992278420294307,"Fungal","Female"
"201",1,0,"C/CY",5,0.973535635661186,0.96460584875627,0.981685404507469,"Fungal","Female"
"202",1,0,"C/CY",6,0.952767429449735,0.943073999124251,0.963783891302772,"Fungal","Female"
"203",1,0,"C/CY",7,0.916907079003009,0.901070182598737,0.933052238128505,"Fungal","Female"
"204",1,0,"C/CY",8,0.867994615790083,0.842158254061815,0.890987746672425,"Fungal","Female"
"205",1,0,"C/CY",9,0.810211773272663,0.778338947491614,0.842909578084658,"Fungal","Female"
"206",1,0,"C/CY",10,0.747148071494912,0.714776948796749,0.781615682517167,"Fungal","Female"
"207",1,0,"C/CY",11,0.680967546344004,0.650575106496319,0.718419614689127,"Fungal","Female"
"208",1,0,"C/CY",12,0.614247534943014,0.581200146756985,0.654187090585802,"Fungal","Female"
"209",1,1,"C/C",0,1,NA,NA,"Fungal","Male"
"210",1,1,"C/C",1,0.988410999617525,0.980992682300606,0.993976187055366,"Fungal","Male"
"211",1,1,"C/C",2,0.984050376285109,0.975004251284477,0.991192695923324,"Fungal","Male"
"212",1,1,"C/C",3,0.980830880486257,0.97072031796284,0.989455682484919,"Fungal","Male"
"213",1,1,"C/C",4,0.975912126585982,0.963207923525789,0.986402763517596,"Fungal","Male"
"214",1,1,"C/C",5,0.951906735463359,0.93808886669992,0.964478409766883,"Fungal","Male"
"215",1,1,"C/C",6,0.908903565656345,0.892090111790434,0.924138459622504,"Fungal","Male"
"216",1,1,"C/C",7,0.83714116886461,0.815494397416856,0.856647349170416,"Fungal","Male"
"217",1,1,"C/C",8,0.744317878746885,0.715043907989937,0.770511979904561,"Fungal","Male"
"218",1,1,"C/C",9,0.642124404187944,0.604559189506807,0.674970916717526,"Fungal","Male"
"219",1,1,"C/C",10,0.484081980969045,0.453326918961554,0.516052537289326,"Fungal","Male"
"220",1,1,"C/C",11,0.350330072191106,0.318749057577372,0.387474532638333,"Fungal","Male"
"221",1,1,"C/C",12,0.244532548590472,0.217113702793979,0.27996050005274,"Fungal","Male"
"222",1,0,"C/C",0,1,NA,NA,"Fungal","Female"
"223",1,0,"C/C",1,0.986008458579805,0.977963486910008,0.9915056750498,"Fungal","Female"
"224",1,0,"C/C",2,0.980752665346124,0.97161021145264,0.987910068215031,"Fungal","Female"
"225",1,0,"C/C",3,0.976875373726949,0.964290498634885,0.985533585732635,"Fungal","Female"
"226",1,0,"C/C",4,0.97095676914416,0.957270429815898,0.981659280265643,"Fungal","Female"
"227",1,0,"C/C",5,0.929076194710387,0.912533458006551,0.943517144859015,"Fungal","Female"
"228",1,0,"C/C",6,0.856069304444501,0.832547850024579,0.875022004728437,"Fungal","Female"
